Age,Work-class,Fnlwgt,Education,Education-num,Marital-stat,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-Country,"<=50k, >50k"
39,1,77516,1,13,1,1,1,1,1,2174,0,40,1,0
50,2,83311,1,13,2,2,2,1,1,0,0,13,1,0
38,3,215646,2,9,3,3,1,1,1,0,0,40,1,0
53,3,234721,3,7,2,3,2,2,1,0,0,40,1,0
28,3,338409,1,13,2,4,3,2,0,0,0,40,13,0
37,3,284582,4,14,2,2,3,1,0,0,0,40,1,0
49,3,160187,5,5,4,5,1,2,0,0,0,16,19,0
52,2,209642,2,9,2,2,2,1,1,0,0,45,1,1
31,3,45781,4,14,1,4,1,1,0,14084,0,50,1,1
42,3,159449,1,13,2,2,2,1,1,5178,0,40,1,1
37,3,280464,6,10,2,2,2,2,1,0,0,80,1,1
30,1,141297,1,13,2,4,2,3,1,0,0,40,8,1
23,3,122272,1,13,1,1,4,1,0,0,0,30,1,0
32,3,205019,7,12,1,6,1,2,1,0,0,50,1,0
40,3,121772,8,11,2,7,2,3,1,0,0,40, ,1
34,3,245487,9,4,2,8,2,4,1,0,0,45,21,0
25,2,176756,2,9,1,9,4,1,1,0,0,35,1,0
32,3,186824,2,9,1,10,5,1,1,0,0,40,1,0
38,3,28887,3,7,2,6,2,1,1,0,0,50,1,0
43,2,292175,4,14,3,2,5,1,0,0,0,45,1,1
40,3,193524,10,16,2,4,2,1,1,0,0,60,1,1
54,3,302146,2,9,6,5,5,2,0,0,0,20,1,0
35,4,76845,5,5,2,9,2,2,1,0,0,40,1,0
43,3,117037,3,7,2,8,2,1,1,0,2042,40,1,0
59,3,109015,2,9,3,12,5,1,0,0,0,40,1,0
56,5,216851,1,13,2,12,2,1,1,0,0,40,1,1
19,3,168294,2,9,1,7,4,1,1,0,0,40,1,0
54,6,180211,6,10,2, ,2,3,1,0,0,60,11,1
39,3,367260,2,9,3,2,1,1,1,0,0,80,1,0
49,3,193366,2,9,2,7,2,1,1,0,0,40,1,0
23,5,190709,7,12,1,11,1,1,1,0,0,52,1,0
20,3,266015,6,10,1,6,4,2,1,0,0,44,1,0
45,3,386940,1,13,3,2,4,1,1,0,1408,40,1,0
30,4,59951,6,10,2,1,4,1,1,0,0,40,1,0
22,1,311512,6,10,2,5,2,2,1,0,0,15,1,0
48,3,242406,3,7,1,10,5,1,1,0,0,40,4,0
21,3,197200,6,10,1,10,4,1,1,0,0,40,1,0
19,3,544091,2,9,7,1,3,1,0,0,0,25,1,0
31,3,84154,6,10,2,6,2,1,1,0,0,38, ,1
48,2,265477,7,12,2,4,2,1,1,0,0,40,1,0
31,3,507875,5,5,2,10,2,1,1,0,0,43,1,0
53,2,88506,1,13,2,4,2,1,1,0,0,40,1,0
24,3,172987,1,13,2,12,2,1,1,0,0,50,1,0
49,3,94638,2,9,6,1,5,1,0,0,0,40,1,0
25,3,289980,2,9,1,3,1,1,1,0,0,35,1,0
57,4,337895,1,13,2,4,2,2,1,0,0,40,1,1
53,3,144361,2,9,2,10,2,1,1,0,0,38,1,0
44,3,128354,4,14,3,2,5,1,0,0,0,40,1,0
41,1,101603,8,11,2,7,2,1,1,0,0,40,1,0
29,3,271466,8,11,1,4,1,1,1,0,0,43,1,0
25,3,32275,6,10,2,2,3,4,0,0,0,40,1,0
18,3,226956,2,9,1,5,4,1,0,0,0,30, ,0
47,3,51835,11,15,2,4,3,1,0,0,1902,60,15,1
50,4,251585,1,13,3,2,1,1,1,0,0,55,1,1
47,7,109832,2,9,3,2,1,1,1,0,0,60,1,0
43,3,237993,6,10,2,12,2,1,1,0,0,40,1,1
46,3,216666,12,3,2,10,2,1,1,0,0,40,21,0
35,3,56352,8,11,2,5,2,1,1,0,0,40,4,0
41,3,147372,2,9,2,1,2,1,1,0,0,48,1,0
30,3,188146,2,9,2,10,2,1,1,5013,0,40,1,0
30,3,59496,1,13,2,6,2,1,1,2407,0,40,1,0
32,6,293936,9,4,4, ,1,1,1,0,0,40, ,0
48,3,149640,2,9,2,8,2,1,1,0,0,40,1,0
42,3,116632,10,16,2,4,2,1,1,0,0,45,1,1
29,3,105598,6,10,3,12,1,1,1,0,0,58,1,0
36,3,155537,2,9,2,7,2,1,1,0,0,40,1,0
28,3,183175,6,10,3,1,1,1,0,0,0,40,1,0
53,3,169846,2,9,2,1,3,1,0,0,0,40,1,1
49,7,191681,6,10,2,2,2,1,1,0,0,50,1,1
25,6,200681,6,10,1, ,4,1,1,0,0,40,1,0
19,3,101509,6,10,1,4,4,1,1,0,0,32,1,0
31,3,309974,1,13,6,6,4,2,0,0,0,40,1,0
29,2,162298,1,13,2,6,2,1,1,0,0,70,1,1
23,3,211678,6,10,1,10,1,1,1,0,0,40,1,0
79,3,124744,6,10,2,4,6,1,1,0,0,20,1,0
27,3,213921,2,9,1,5,4,1,1,0,0,40,21,0
40,3,32214,7,12,2,1,2,1,1,0,0,40,1,0
67,6,212759,13,6,2, ,2,1,1,0,0,2,1,0
18,3,309634,3,7,1,5,4,1,0,0,0,22,1,0
31,5,125927,9,4,2,9,2,1,1,0,0,40,1,0
18,3,446839,2,9,1,6,1,1,1,0,0,30,1,0
52,3,276515,1,13,2,5,2,1,1,0,0,40,13,0
46,3,51618,2,9,2,5,3,1,0,0,0,40,1,0
59,3,159937,2,9,2,6,2,1,1,0,0,48,1,0
44,3,343591,2,9,3,7,1,1,0,14344,0,40,1,1
53,3,346253,2,9,3,6,4,1,0,0,0,35,1,0
49,5,268234,2,9,2,11,2,1,1,0,0,40,1,1
33,3,202051,4,14,2,4,2,1,1,0,0,50,1,0
30,3,54334,5,5,1,6,1,1,1,0,0,40,1,0
43,4,410867,10,16,1,4,1,1,0,0,0,50,1,1
57,3,249977,8,11,2,4,2,1,1,0,0,40,1,0
37,3,286730,6,10,3,7,5,1,0,0,0,40,1,0
28,3,212563,6,10,3,10,5,2,0,0,0,25,1,0
30,3,117747,2,9,2,6,3,3,0,0,1573,35, ,0
34,5,226296,1,13,2,11,2,1,1,0,0,40,1,1
29,5,115585,6,10,1,3,1,1,1,0,0,50,1,0
48,2,191277,10,16,2,4,2,1,1,0,1902,60,1,1
37,3,202683,6,10,2,6,2,1,1,0,0,48,1,1
48,3,171095,7,12,3,2,5,1,0,0,0,40,3,0
32,4,249409,2,9,1,5,4,2,1,0,0,40,1,0
76,3,124191,4,14,2,2,2,1,1,0,0,40,1,1
44,3,198282,1,13,2,2,2,1,1,15024,0,60,1,1
47,2,149116,4,14,1,4,1,1,0,0,0,50,1,0
20,3,188300,6,10,1,12,4,1,0,0,0,40,1,0
29,3,103432,2,9,1,7,1,1,1,0,0,40,1,0
32,7,317660,2,9,2,7,2,1,1,7688,0,40,1,1
17,6,304873,13,6,1, ,4,1,0,34095,0,32,1,0
30,3,194901,3,7,1,3,4,1,1,0,0,40,1,0
31,5,189265,2,9,1,1,1,1,0,0,0,40,1,0
42,3,124692,2,9,2,3,2,1,1,0,0,40,1,0
24,3,432376,1,13,1,6,6,1,1,0,0,40,1,0
